samples	sygl.1	sel.1	maea.1	ubc.25	pdr.1	cul.4	ubc.20	rnf.5	marc.6	ufl.1	rbpl.1	ari.1.3	F44B9.5	rnf.113	ZK1248.11	marc.3	tag.314	herc.1	uev.2	Y105E8A.14	ari.1.2	ntl.4	ubc.9	ubc.3	ufd.2	marc.4	sel.11	otub.1	vps.36	wdr.48	rae.1	ufd.3	skr.18	T22C1.1	mig.32	bath.40	fsn.1	uba.1	trul.1	uev.1	cand.1	dss.1	F37A4.5	ate.1	rpn.10	pas.1	spsb.2	F10C2.5	rpn.11	pbs.5	pas.5	hsp.4	wdr.23	ubh.1	ubh.3	der.2	eor.1	rpt.1	ubh.2	Y82E9BR.18	rpn.7	ufd.1	pas.2	pbs.3	C28A5.6	vps.22	C47E12.3	B0303.4	fbxl.1	spsb.1	jamp.1	vms.1	rpn.6.2	vps.37	rpn.3	atg.3	ccdc.47	C14C10.5	C10G11.8	F35G12.12	aph.2	sel.10	zim.2	dhc.1	chp.1	Jun	npp.21	bir.1	oma.1	rad.50	mcm.6	cls.2	mog.3	smc.6	mdf.1	sel.13	T08D2.7	F54E7.9	chl.1	ebp.2	gpr.1	ppk.1	him.14	K07A1.10	nos.2	lmn.1	lin.54	Sep	pam.1	dpy.26	pole.1	nos.3	rde.2	smc.4	ptc.1	cyb.2.2	ksr.2	spdl.1	dnc.1	oma.2	zyg.9	orc.1	lem.2	mnat.1	wrm.1	met.2	psf.3	eme.1	clk.2	npp.1	ints.13	him.1	hsr.9	mcm.4	ced.12	scc.2	ran.2	gsp.2	gpb.1	cyb.2.1	zyg.1	bub.1	egg.5	let.92	gld.1	eri.1	tpxl.1	hoe.1	hmp.2	cin.4	syp.4	kbp.2	figl.1	saps.1	tbg.1	zim.1	F25B5.5	taf.10	rsa.2	cyy.1	fcd.2	rfs.1	ebp.1	helq.1	spe.6	npp.13	cdk.7	htp.3	F59E12.15	mcm.5	egl.20	pid.3	xpf.1	coh.3	gsp.4	cpb.1	him.17	lem.3	puf.5	hpl.2	ercc.1	F54A3.2	rha.1	tcc.1	him.18	tba.2	rack.1	ima.2	mlc.5	wee.1.3	him.10	kin.3	ced.10	zim.3	cdl.1	gender	genotype	age	stage	group
EG10.bam	4.021375	21.385766	0.000000	21.586576	9.463544	1.789194	0.766360	0.518135	0.555347	0.000000	7.175924	4.541510	0.028137	4.926670	0.215706	2.838360	0.000000	0.265527	0.000000	0.297238	3.870171	8.784538	17.816771	6.245701	2.440246	0.000000	0.000000	4.683774	2.367040	5.214375	1.002024	1.395953	0.000000	3.957878	2.462981	0.983415	0.303366	5.642267	0.128557	2.441661	1.345450	0.041112	0.000000	1.707914	4.073636	5.120979	0.844125	0.000000	10.773882	20.741548	82.484508	11.075002	2.790331	0.000000	0.382059	0.000000	0.000000	11.167287	0.516661	0.140368	9.633498	4.520786	0.000000	8.481446	0.000000	0.063634	1.515898	1.195638	0.178460	0.527873	1.392631	1.584585	0.000000	0.000000	8.758030	1.023803	43.743247	3.429364	0.020417	0.000000	0.689880	1.358692	2.611571	10.657817	6.009586	0.000000	16.515280	5.199157	13.305367	4.096424	5.221576	0.529599	10.287867	5.210384	2.597047	26.735531	0.661297	0.000000	0.000000	7.081857	1.232347	0.305819	0.859492	0.000000	2.966535	3.713793	0.548555	0.687562	4.665394	4.385995	5.439720	1.800245	2.327218	7.176871	4.107119	2.219948	0.484404	1.734023	1.553185	0.595980	1.275959	0.528377	8.023593	0.492520	1.589253	3.485112	2.512113	0.276774	1.613719	4.116559	1.357962	0.777690	21.911794	5.005858	1.604032	2.048774	4.816538	16.217125	4.049740	1.712942	1.274151	7.562651	5.670216	5.727523	6.568572	2.419870	10.014567	2.796824	1.871630	0.000000	11.841759	0.000000	0.381680	4.047445	1.302014	0.344053	0.307832	0.959815	3.854940	1.667240	0.925365	0.000000	0.053542	0.290993	0.000000	0.842995	0.492680	8.544989	0.389710	15.302703	0.000000	12.979029	1.635345	3.602440	0.000000	0.000000	9.896538	8.597904	9.097259	0.587408	0.192523	0.000000	2.496662	0.934316	6.820469	68.366668	17.160295	10.997088	2.975128	1.994886	8.568011	2.870894	0.465410	0.310381	21.290747	NA	lat1_KO	16-cell_stage_embryo	division_plane_up_to_0.6	group3
EG11.bam	0.487577	8.288233	0.069427	11.901897	4.313639	0.882584	0.863265	0.132937	1.347623	0.217743	5.625665	3.342787	0.363898	2.012302	1.151321	0.543711	0.000000	0.140991	0.000000	2.466542	1.787357	4.096021	12.053289	5.307704	1.461040	0.013376	1.086618	3.623377	0.000000	2.126600	1.854918	2.546682	0.493481	5.847554	4.744867	0.936702	1.326319	1.600402	0.471832	5.457308	0.505378	0.177760	0.000000	0.263654	7.067215	2.268563	0.947179	0.146789	8.449612	2.484241	44.545810	6.257306	0.971150	0.107064	0.384000	1.952794	0.305446	4.621539	1.388029	0.227022	2.195221	2.747409	0.925164	6.942024	0.000000	0.991591	0.838091	2.810323	0.070762	0.309975	0.465869	0.741550	0.002724	0.381278	2.927278	0.403238	21.090504	2.035529	0.003097	0.721047	1.211908	2.119583	2.085800	5.793483	1.481538	0.020879	7.808872	2.266453	9.342087	2.439175	5.804358	0.983461	6.701052	1.783357	2.851626	11.946263	0.207293	0.000000	0.157273	3.009223	0.817143	0.878846	1.405488	0.901242	4.614608	9.243081	1.598861	1.216953	4.063696	3.425819	4.209728	1.286009	3.396416	6.045511	1.537558	1.845446	0.289423	1.188806	3.257160	0.386781	2.000582	0.604753	4.693291	0.474387	0.633426	2.271331	0.096950	0.219792	0.000000	2.999844	1.279692	2.414762	12.934425	5.300908	0.361422	1.365615	1.952143	10.825066	2.514939	1.002359	2.320893	5.091907	0.460919	3.435932	3.823501	2.206840	8.654270	1.247413	2.011934	0.002628	3.559764	3.046835	0.887441	3.378046	0.861635	0.034915	0.385285	2.008724	2.276293	2.413866	0.732114	0.001693	0.503946	0.100907	0.000000	0.334476	0.280292	4.133932	0.001442	14.022525	0.000000	3.141634	1.363250	0.767324	0.260776	0.317411	6.544592	5.970052	3.882409	0.437559	0.186535	0.062621	1.764328	0.684958	1.612500	41.360190	10.070083	2.881199	1.583223	3.190834	6.752829	4.568628	0.373476	0.243105	8.909513	NA	lat1_KO	16-cell_stage_embryo	division_plane_below_0.4	group4
EG12.bam	0.000000	34.948602	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.059506	6.837444	15.452327	0.000000	0.122879	0.000000	0.000000	0.000000	0.005730	0.000000	0.000000	0.000000	0.053690	0.176567	0.000000	0.000000	0.000000	3.854125	0.000000	0.000000	31.923634	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.093942	0.000000	0.359020	0.000000	5.588735	0.000000	0.000000	0.000000	1.059656	0.000000	0.000000	0.000000	7.280436	5.476002	8.508480	0.038437	0.000000	0.000000	7.674444	0.000000	0.000000	0.000000	0.000000	20.798409	0.000000	0.252008	3.531439	0.064122	0.000000	0.000000	0.068413	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.124297	4.419195	0.136412	9.404592	0.000000	0.000000	0.053194	0.000000	0.000000	7.732158	0.000000	0.000000	18.551881	0.000000	8.571762	0.044236	10.107043	0.000000	0.000000	0.123154	0.000000	0.000000	0.000000	0.000000	0.040838	0.000000	5.910983	0.000000	8.088842	0.000000	27.745770	1.243402	0.000000	0.046003	4.402934	0.000000	3.073794	0.000000	0.000000	0.044055	1.222825	0.000000	0.000000	0.000000	0.000000	0.139563	3.885720	0.000000	0.077511	0.048280	0.000000	0.000000	0.000000	0.000000	0.000000	0.886921	0.000000	0.000000	0.161314	0.000000	0.000000	2.406239	0.000000	11.317047	0.042711	0.000000	8.241564	0.679316	0.095096	0.122757	0.000000	0.000000	0.123774	0.000000	0.000000	0.146021	0.102705	0.000000	0.000000	3.120822	0.000000	0.029396	0.000000	0.000000	0.000000	14.687744	0.043744	0.000000	0.000000	0.000000	0.000000	0.000000	0.025533	0.000000	0.000000	0.000000	0.000000	0.000000	9.141551	0.409988	0.000000	0.000000	4.278479	0.090377	21.287050	0.000000	0.000000	0.000000	0.000000	0.048322	0.000000	51.798942	0.349153	0.122092	0.144699	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	wild_type	16-cell_stage_embryo	division_plane_normal	group5
EG1.bam	0.824603	16.256151	0.071919	21.879052	12.075036	0.989733	1.782882	0.092907	3.427051	0.192853	13.968730	2.248638	0.000000	0.370263	0.727272	0.292054	0.000000	0.131831	0.000000	0.935331	5.495019	7.126203	19.498624	7.657001	6.415031	0.073551	0.485181	4.645838	0.429488	7.293025	2.180280	6.716222	0.000000	7.583445	6.796060	2.242615	0.062272	7.433364	0.759471	3.033881	1.879079	0.309824	0.000000	0.966141	12.566795	2.917053	2.430177	0.085039	12.876390	23.271011	91.487726	7.614794	3.182692	0.000000	0.682598	0.277260	0.178518	6.038558	1.709817	0.080652	17.890929	7.564118	5.308765	11.938999	0.000000	0.957550	0.344345	6.362085	0.000000	0.454414	0.660156	4.635490	0.003041	0.480173	14.127496	0.923581	21.458159	8.619489	0.001729	3.156264	1.704014	4.793452	3.491344	11.625707	5.477709	0.003131	13.511531	0.000000	9.873953	4.468630	8.492851	0.594176	14.713832	5.411336	1.836601	15.243704	0.084675	1.111044	0.001094	5.300822	5.854299	0.752949	3.288714	0.633854	9.779035	11.497446	1.931136	2.881992	9.759031	4.002769	6.203483	3.700043	7.628490	7.136610	4.828266	2.860266	0.221597	0.202585	5.326103	7.571504	6.604881	3.514639	2.810996	0.832137	1.693393	4.187010	2.082336	0.136129	0.782670	6.365578	1.007865	6.135520	23.415164	13.603298	3.383457	2.662369	1.079617	14.781252	4.281936	1.528700	3.457385	9.306746	6.250505	6.594013	10.282988	1.285428	7.399027	1.535507	3.968985	0.055733	4.662735	1.215664	0.814138	2.816022	1.258340	1.202698	0.254862	4.947160	9.058562	2.782983	1.896625	0.000000	0.844713	0.043295	0.000000	0.735158	0.383663	7.093885	0.000000	12.267885	0.000000	15.742614	1.447825	2.564731	0.004621	0.104510	10.580082	5.158491	10.900964	0.781889	0.209623	0.197024	5.164927	2.375970	4.182563	66.276046	7.822793	11.362099	0.000000	4.705340	8.069974	4.817046	0.052890	0.036672	22.306009	NA	wild_type	16-cell_stage_embryo	division_plane_normal	group5
EG2.bam	0.962701	1.331599	0.000000	24.287448	3.807810	0.000000	0.849992	4.866676	1.135714	0.000000	4.982901	1.350203	0.005499	1.659867	0.000000	0.789968	0.000000	0.206163	0.000000	0.000000	0.544335	1.188277	0.829599	3.422279	1.248878	0.000000	0.119135	3.814179	0.000000	3.974104	2.423234	1.598149	0.000000	5.186566	0.627872	0.000000	0.000000	6.882095	4.099290	0.621472	1.897088	0.000000	0.000000	0.124149	13.123170	0.269320	1.360281	0.000000	18.653083	0.245505	40.044272	1.112487	0.930296	0.000000	1.179788	0.000000	0.225218	3.991065	0.000000	0.077892	7.519654	9.336678	34.758295	48.871638	0.005286	0.284266	0.000000	7.670107	0.000000	0.543344	0.004555	1.058952	0.007019	0.000000	1.264070	1.254431	14.011896	2.092009	0.000000	1.051161	0.841872	1.440924	0.164565	6.381858	1.209066	0.183065	2.922259	7.888942	12.570583	3.444471	3.834976	0.000000	3.031062	2.251734	2.005216	3.046097	0.417907	0.000000	0.111087	1.414046	5.925779	0.408043	5.123008	0.000000	17.682065	5.815499	0.000000	4.560324	6.780333	6.662536	2.578302	3.590454	5.224366	2.252422	3.871233	1.512201	0.246518	0.000000	2.057570	5.263127	5.597214	1.437890	7.551998	2.150524	2.606934	2.622404	0.000000	0.324041	0.765278	0.911045	2.053979	3.773439	15.156936	8.604281	2.615543	1.368516	4.923282	18.264597	2.941505	0.000000	0.699555	8.686341	0.667268	6.200309	6.180782	1.243467	7.174253	1.484356	0.266767	0.000000	1.327032	10.377677	0.000000	2.229484	0.181345	0.021808	0.000000	0.000000	3.545907	0.202026	1.490783	0.000000	0.143990	0.791334	0.000000	0.392011	0.887920	5.877541	0.000000	6.856477	0.000000	5.054277	2.034210	0.107018	0.010665	0.005884	5.686857	4.411187	8.949566	1.400607	0.000000	0.000000	5.836131	0.295004	0.704670	49.063803	15.854473	4.483496	0.000000	3.694074	6.756060	2.802503	0.000000	0.000000	4.514511	NA	lat1_KO	16-cell_stage_embryo	division_plane_up_to_0.6	group3
EG3.bam	1.496742	4.505322	0.000000	15.035582	0.491415	0.000000	4.108821	0.000000	2.229515	0.007209	2.241596	7.723355	0.000000	9.221536	0.000000	0.467817	0.000000	0.528216	0.000000	7.422849	8.932048	7.281133	14.277299	7.083824	0.312957	0.000000	0.747017	13.936848	0.000000	1.746308	3.538915	1.695503	2.341531	31.462993	6.802533	2.700473	0.000000	1.573285	0.000000	0.000000	1.438995	0.000000	0.000000	3.024774	12.559285	9.798587	1.366266	0.000000	58.800459	15.302332	65.167054	3.334999	2.085968	0.040039	0.014631	0.302685	0.000000	8.472769	1.450988	0.000000	8.600799	0.000000	4.670790	46.788157	0.000000	5.472651	0.000000	0.008288	0.000000	0.375659	0.000000	0.000000	0.000000	1.628781	11.292925	0.015080	11.625208	7.048670	0.000000	0.000000	0.000000	4.689176	1.617346	6.318533	0.000000	0.282407	8.283995	5.242345	6.816196	2.213169	0.778818	0.007801	13.541827	0.343131	1.890915	26.170696	0.185307	7.032641	0.000000	0.258294	3.376834	0.268019	8.952361	0.368209	30.626837	5.845395	1.158602	0.532194	4.721292	2.076883	3.219259	9.579594	1.806892	2.681763	0.427937	0.000000	0.104800	0.000000	4.677489	11.614776	2.521676	0.491784	3.328603	0.000000	4.031699	3.229166	0.000000	0.081144	0.009088	0.561998	0.551704	0.216601	9.230051	2.923458	0.421639	0.725457	0.000000	10.629933	5.869877	0.000000	0.000000	6.190170	0.368633	0.520474	17.295662	4.015786	8.749967	0.395765	7.476526	0.000000	0.012442	0.000000	0.000000	0.008401	0.527279	0.000000	0.000000	30.235264	2.284781	2.170869	0.000000	0.000000	0.159117	0.000000	3.648691	1.025140	0.315494	0.000000	4.193406	9.026711	0.000000	16.717209	1.471097	0.115886	0.000000	0.000000	2.487798	0.000000	0.587889	2.816443	1.126290	0.000000	3.414744	1.459038	0.000000	44.178834	10.383686	6.958731	23.453346	16.636894	8.255734	0.468711	0.000000	0.000000	10.181647	NA	lat1_KO	16-cell_stage_embryo	division_plane_up_to_0.6	group3
EG4.bam	1.520782	21.036742	0.000000	15.304417	9.805812	0.213283	2.588120	0.000000	0.576473	0.002974	11.103920	1.249613	0.000000	1.010222	0.650632	0.005677	0.000000	0.077747	0.000000	1.937472	3.172089	3.835731	7.663969	1.922356	0.064557	0.000000	1.348334	1.603370	0.014247	0.444030	2.736141	9.381422	0.000000	1.391618	6.393329	1.145894	0.000000	0.815749	0.114056	0.008971	1.191447	0.000000	0.000000	0.000000	14.134275	9.503168	4.212423	0.000000	13.509881	12.078171	30.052272	3.607138	2.536630	2.081328	0.446691	0.490586	0.000000	1.452045	2.040758	0.084354	1.599393	1.750159	5.812458	14.380842	0.000000	0.933572	0.000000	4.822655	0.000000	1.225601	0.000000	0.862119	0.000000	7.622484	6.382872	0.951875	29.523226	2.461497	0.019355	0.000000	1.603071	6.111616	1.893674	10.305566	0.069815	0.000000	17.982155	0.000000	14.124775	2.389898	6.102011	0.003218	6.178132	5.014711	5.037850	25.670419	0.060432	0.000000	0.135725	0.000000	1.453579	0.885523	2.116416	2.251511	7.304812	16.460459	0.299404	0.740307	6.710081	5.213766	5.028453	0.951090	7.255594	7.445312	5.795607	0.000000	0.226620	0.277436	4.695957	0.000000	3.181151	0.703779	4.342506	0.786606	2.152453	4.117196	11.224704	0.596726	0.003749	4.129139	2.298508	4.115696	15.370269	11.344785	0.854765	2.572595	1.060643	15.180159	7.711191	7.363062	2.587900	5.856453	0.244760	4.411125	9.776336	0.728860	6.255692	3.496217	0.104560	0.000000	8.179304	1.826787	5.649596	3.578658	4.111891	0.374635	0.000000	1.446477	5.088238	4.068914	0.290768	0.000000	0.540729	0.320516	0.000000	0.533945	0.087412	16.184934	0.009011	6.291340	0.000000	10.102117	2.601944	0.127494	0.000000	0.052319	7.407332	11.206225	5.432359	3.005126	0.315001	0.000000	6.753816	1.559499	4.656966	50.181989	2.730886	7.645583	2.523848	9.063232	0.982693	1.451485	0.000000	0.009124	25.427843	NA	lat1_KO	16-cell_stage_embryo	division_plane_up_to_0.6	group3
EG5.bam	2.757219	8.668275	0.119931	16.944619	4.526959	2.078828	0.000000	0.000000	0.932953	0.005929	4.989219	0.230340	1.311684	1.077420	0.000000	0.022634	0.000000	0.103335	0.000000	0.836111	2.465041	5.146242	10.643646	5.338001	0.843731	0.000000	0.000000	0.000000	0.000000	1.787847	3.373069	2.516841	10.384608	5.644494	0.961335	0.619532	0.440142	2.522559	0.000000	1.252021	0.778164	0.453250	0.000000	0.823008	7.857520	20.271726	0.000000	0.192894	7.913033	11.455789	55.704965	9.081832	1.214029	0.000000	3.983411	0.000000	0.000000	0.198734	0.000000	0.759541	5.723526	12.058217	0.000000	10.373512	0.000000	0.137444	0.000000	1.860916	0.000000	0.247635	0.000000	0.402523	0.000000	4.600943	2.476940	5.432676	25.049682	0.853761	0.000000	0.529419	0.000000	2.284804	2.577677	6.768891	0.000000	0.239399	9.118338	10.973162	8.540728	0.943232	2.435376	0.000000	5.588537	1.981733	2.423833	6.404814	0.130642	4.384174	0.219727	0.888423	2.891249	0.137085	3.009234	1.817132	10.386372	16.782333	0.000000	0.742544	3.675686	1.476324	4.846742	5.286599	3.173204	2.734719	1.495921	1.112276	0.531067	0.000000	3.769224	2.155391	3.727848	0.000000	7.143774	0.880323	1.122730	3.843882	0.583056	0.198556	0.000000	2.202478	0.907562	1.368562	13.490568	5.495157	1.668235	1.744927	2.005137	16.171817	1.132000	0.000000	0.174268	5.114028	1.809749	7.925863	5.148301	4.442087	4.323437	0.428860	1.537376	0.014549	1.043796	0.000000	0.578163	0.718645	0.000000	1.045654	0.000000	0.000000	1.739009	4.537416	0.760574	0.000000	0.078255	0.686140	0.000000	0.401022	0.000000	3.304341	0.000000	9.184071	0.000000	3.368607	0.955113	7.126121	0.000000	0.037930	12.000313	2.296275	5.901430	0.414462	0.101195	0.000000	2.873195	1.299977	2.015880	68.566945	1.669866	2.627631	0.000000	5.822587	7.476780	2.284554	3.649553	0.018189	18.593399	NA	lat1_KO	16-cell_stage_embryo	division_plane_up_to_0.6	group3
EG6.bam	2.002314	10.563674	0.041655	14.252882	5.024074	1.428139	0.302558	1.094170	0.721559	0.500344	6.110393	6.098670	0.139371	3.311199	1.054050	1.534753	0.000000	0.228713	0.000000	1.209598	4.429647	4.839210	13.257562	4.076758	1.376017	0.003844	1.726457	3.613342	0.568276	4.853809	2.255595	4.116898	0.000000	2.379563	4.338037	0.588625	1.797992	5.293848	0.354042	5.213180	1.393165	0.044358	0.000000	0.543129	6.429027	3.623864	0.723306	0.290721	8.802155	7.697833	55.060785	8.965092	4.129862	0.153825	0.487173	0.905387	0.610752	4.934286	1.283832	0.245861	7.090724	5.717897	3.205799	27.599344	0.000000	1.251889	1.265290	2.367811	0.148789	0.188472	0.606978	0.847326	0.000000	0.176983	8.657949	0.231742	20.798177	2.658037	0.000000	1.641264	0.684107	4.764787	1.580838	8.610393	3.256479	0.012492	11.181118	0.494906	14.065219	2.760133	6.247539	0.893082	4.707131	3.609964	1.979705	14.516096	0.269402	1.088563	0.008870	3.130371	0.608552	0.683004	1.866358	2.431798	5.701551	13.179137	1.177209	1.569334	8.153831	2.752773	5.366658	1.536849	4.226104	4.799198	4.136034	5.557014	0.381343	0.058130	3.015516	5.291500	2.869370	1.806719	2.958042	0.554250	1.512891	3.013898	0.855932	0.339803	0.074487	3.209068	1.870176	3.220823	16.932107	6.058852	1.167438	1.177790	2.072097	16.557932	2.501295	0.602727	1.861503	8.484685	3.155579	10.428414	6.824022	2.818058	5.519617	2.501160	1.873347	0.397557	6.193173	2.977691	1.346077	3.895768	2.176945	0.220723	0.312007	4.156866	4.514127	2.503161	1.730153	0.000000	0.574336	0.287872	0.000000	0.408500	0.573962	5.721465	0.108150	13.144714	0.000000	6.894602	1.003788	1.944846	0.000000	1.116153	10.053435	5.897069	12.761114	0.523162	0.124194	0.075958	5.146396	1.449062	1.383675	43.038167	8.168173	7.038330	1.391759	3.488306	5.249954	4.748604	0.138153	0.001416	12.690509	NA	lat1_KO	16-cell_stage_embryo	division_plane_below_0.4	group4
EG8.bam	0.209102	5.953832	0.360911	11.374391	6.181694	0.026770	0.513528	0.001731	0.121880	0.846572	1.752362	2.815031	0.000000	2.642097	0.507790	1.395551	0.000000	0.066695	0.000000	1.416289	4.187864	3.137268	14.383506	2.055993	1.457931	0.112748	0.003462	1.515650	0.256033	0.780757	2.001339	0.910136	0.000000	4.096275	5.202384	0.295726	0.000000	1.268131	0.037063	0.696498	1.982088	0.121402	0.000000	0.000000	5.416754	0.105747	0.710890	0.000000	5.470537	7.918012	36.591801	5.041872	1.907669	0.000000	1.427596	0.000000	0.000000	1.373410	1.310505	0.030461	4.483205	5.605847	0.783137	7.560512	0.000000	0.175516	0.157268	1.026132	0.000000	0.661165	0.295156	0.312041	0.000000	0.995361	4.552554	0.120750	13.731799	3.107761	0.000000	0.464498	0.779703	2.773931	1.011601	7.142062	2.214887	0.008632	9.410744	2.855277	11.471061	1.613864	0.910362	0.000000	3.311148	0.967839	2.618200	6.884465	0.365848	0.466572	0.000000	0.006964	2.164595	0.389412	1.484482	0.499194	4.142426	12.993899	2.748824	2.517862	7.105045	3.571779	5.379915	1.568072	1.431989	2.739707	2.616947	0.315529	0.011432	2.662430	1.247165	2.248740	1.840033	1.912720	2.978168	0.580189	0.000000	1.713207	1.061156	0.363075	0.000000	2.323578	0.367468	1.966517	19.396004	6.394605	0.921662	1.468229	0.577958	5.690003	0.622211	0.000000	1.369037	9.334918	2.823646	4.304313	2.213541	0.442617	3.831125	0.493703	0.145627	0.666231	5.191489	0.000000	0.550386	2.288458	0.448724	0.066534	0.000000	0.463992	2.198798	2.230605	0.484824	0.000000	0.308429	0.133613	0.000000	0.279128	1.013622	5.528351	0.000000	10.540595	0.000000	4.435125	0.824189	0.898480	0.000000	0.000000	6.772120	1.839357	4.881756	0.880630	0.412361	0.000000	4.469671	0.988662	4.047177	51.740757	3.477718	2.008901	3.763656	4.179271	5.480617	1.951206	0.000000	0.000000	9.432699	NA	lat1_KO	16-cell_stage_embryo	division_plane_below_0.4	group4
EG9.bam	6.370013	27.567942	0.000000	32.446028	0.000000	0.000000	0.012995	0.000000	0.902591	0.000000	3.798447	0.000000	0.000000	0.000000	0.000000	5.373587	0.000000	0.509885	0.000000	0.009377	12.667692	2.781960	18.667250	13.856745	0.007699	0.000000	1.669367	5.420998	10.023152	6.382231	0.000000	0.000000	0.000000	3.231807	0.000000	0.007580	0.000000	0.005039	1.069862	22.569914	0.566255	0.000000	0.000000	0.000000	27.242988	2.980902	0.000000	0.000000	13.038213	3.773315	64.144856	10.171711	0.583465	0.000000	0.000000	0.000000	0.000000	4.800137	0.000000	0.000000	3.067936	2.304286	0.027035	19.265130	0.000000	5.475416	0.000000	8.443830	0.000000	0.000000	0.000000	0.000000	0.000000	2.564302	1.526791	0.000000	18.548701	1.545130	0.000000	0.012667	0.000000	5.265165	0.553284	10.897676	0.000000	0.000000	4.991450	0.000000	5.504267	3.186687	2.814753	0.000000	7.343779	3.005680	0.010874	2.098066	0.973685	0.000000	0.000000	0.020795	0.000000	1.940705	4.913727	2.725095	16.959729	31.018427	1.133151	3.856778	8.935602	1.990521	2.924553	1.339672	4.968039	3.778607	0.010932	16.774791	0.000000	0.000000	1.494180	5.240239	1.891728	0.004537	2.070494	4.775406	0.638684	0.004790	0.000000	0.000000	0.000000	3.886419	1.001187	2.901246	16.832494	1.929474	0.000000	2.290831	7.260021	22.866153	6.630128	0.000000	0.000000	5.765312	0.000000	12.102518	20.948729	0.000000	3.346122	0.027816	0.003507	0.007832	13.778051	0.000000	1.541705	0.000000	0.000000	0.000000	0.000000	0.000000	0.005033	7.580613	0.764931	0.000000	0.752493	0.000000	0.000000	0.000000	0.000000	0.283446	0.000000	6.949289	0.000000	3.143338	0.000000	1.153332	0.000000	0.000000	8.338311	0.009696	6.194244	7.498513	0.029642	0.000000	3.188751	0.002592	0.000000	22.653700	0.018728	0.550109	0.000000	0.009735	0.000000	0.000000	0.000000	0.577728	11.652333	NA	lat1_KO	16-cell_stage_embryo	division_plane_below_0.4	group4
G1-469.bam	2.672200	3.570540	0.224955	6.802491	2.010761	1.896959	2.056633	0.686312	1.034780	1.788320	3.918606	1.336785	0.519011	2.280452	1.746918	2.992327	0.022611	0.158444	0.027684	1.325416	1.688727	3.675470	6.095384	1.772624	4.533178	0.008058	2.483886	3.123470	2.113950	2.097570	1.306289	6.435604	2.510682	3.827130	2.670658	1.621535	1.556222	7.014000	0.791883	5.247635	1.506884	0.869966	0.104043	0.763072	4.656373	7.426027	1.285208	0.773725	7.946878	6.148011	16.355099	9.912830	0.837090	0.264450	1.317580	1.194636	0.734350	6.759674	1.418407	0.320718	8.325285	3.490330	6.083410	7.075288	0.045048	1.283157	0.928007	2.053330	0.230203	0.167043	0.452943	2.264192	0.432027	1.632626	8.334446	1.617901	6.830802	4.935550	0.032749	2.290402	0.650867	2.377729	1.232106	7.311186	3.896494	0.024838	6.025054	1.006914	4.944194	3.185439	5.237785	2.553480	4.292695	7.211149	3.954053	3.852032	0.208678	0.495532	0.665449	3.949122	1.926892	0.803293	1.719264	3.859790	3.704137	6.657854	2.336119	2.964301	3.315958	2.986695	7.529488	6.259132	1.831044	6.275180	8.620551	5.282777	0.355119	2.031206	2.576339	10.213246	4.809716	4.537183	4.757127	1.173001	1.820361	2.806630	1.642238	0.359147	1.212228	2.134215	1.210267	4.637600	10.112407	4.555950	1.272978	1.253945	2.535878	7.908404	1.221070	3.535962	1.111861	5.570752	7.931543	4.345573	20.069545	1.010914	3.036515	2.040169	1.650975	2.167087	6.377549	2.576024	0.692122	2.506458	1.362754	0.606937	1.586805	2.605404	2.483972	0.876340	0.715793	0.279509	0.191849	0.309291	0.110955	0.385675	0.338329	3.922177	0.750590	5.380179	0.009136	4.530379	1.363054	1.738844	0.026932	1.392894	4.073088	2.493855	15.012927	1.248068	0.371037	0.384903	2.332397	3.960584	2.389331	26.801594	38.541294	11.364942	3.258614	4.667815	4.711586	3.644812	0.601450	1.690391	6.600638	hermaphrodite	lat1_KO	d1_adult	gonad	group7
